state,observations,species_diversity,known_edible_ratio
(desconhecido),16,9,
Agrupamento de Escolas de Benfica,272,17,1.0
Andalucía,3674,66,0.6345514950166113
Andorra la Vella,2,2,
Aquitaine,540,45,1.0
Aragón,1756,67,0.9181286549707602
Aveiro,1107,57,0.7313432835820896
Beja,564,43,0.7872340425531915
Braga,879,43,1.0
Bragança,222,33,0.8181818181818182
Canillo,8,7,1.0
Cantabria,604,50,1.0
Castelo Branco,668,45,0.7457627118644068
Castilla y León,2576,75,0.9799196787148594
Castilla-La Mancha,1176,59,0.9626168224299065
Cataluña,4963,95,0.7929515418502202
Coimbra,2195,112,0.4304635761589404
Comunidad Foral de Navarra,1416,64,0.9375
Comunidad Valenciana,1158,62,0.6746987951807228
Comunidad de Madrid,7126,70,0.9712230215827338
Encamp,2,2,1.0
Escaldes-Engordany,9,5,
Extremadura,614,48,0.7941176470588235
Faro,1497,133,0.6018518518518519
Galicia,4074,85,0.9946236559139785
Gibraltar,45,13,0.2
Guarda,673,48,0.8490566037735849
La Massana,6,5,
La Rioja,519,61,1.0
Languedoc-Roussillon,542,57,0.7692307692307693
Leiria,1497,63,0.40594059405940597
Lisboa,4583,114,0.4012539184952978
Midi-Pyrénées,541,46,1.0
Ordino,28,6,
País Vasco,1422,60,1.0
Portalegre,750,49,0.5555555555555556
Porto,2400,67,0.9705882352941176
Principado de Asturias,859,54,1.0
Región de Murcia,155,24,1.0
Sant Julià de Lòria,6,4,1.0
Santarém,1196,54,0.4268292682926829
Setúbal,2248,62,0.7873563218390804
Viana do Castelo,485,41,1.0
Vila Real,438,35,1.0
Viseu,912,51,0.9629629629629629
Évora,600,44,0.5185185185185185
